INSTNM,INSTURL,ADM_RATE_ALL,SAT_AVG_ALL,ACTCMMID,UGDS,UGDS_MEN,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT
Azusa Pacific University,NULL,0.8261,1074,23,4441,0.3459,0.6541,20006,20006
Bethany University,NULL,0.5922,960,19,572,0.3864,0.6136,13830,13830
California Baptist University,NULL,0.7246,968,19,2243,0.3482,0.6518,14950,14950
California Lutheran University,NULL,0.7572,1086,24,1959,0.4385,0.5615,22285,22285
University of California-Berkeley,NULL,0.2387,1291,27,22880,0.4604,0.5396,6730,23686
University of California-Davis,NULL,0.5676,1165,24,23018,0.4425,0.5575,7557,24513
University of California-Irvine,NULL,0.5379,1180,25,19862,0.4983,0.5017,6895,23851
University of California-Los Angeles,NULL,0.2351,1261,26,24946,0.4335,0.5665,6586,23542
University of California-Riverside,NULL,0.84,1048,21,15089,0.4654,0.5346,6684,23640
University of California-San Diego,NULL,0.3723,1242,26,20316,0.4784,0.5216,6851,23807
University of California-Santa Barbara,NULL,0.5301,1185,26,18114,0.4465,0.5535,7062,24018
University of California-Santa Cruz,NULL,0.7894,1132,24,13647,0.4578,0.5422,7023,23979
California Christian College,NULL,1,912,16,34,0.5588,0.4412,5280,5280
Chapman University,NULL,0.5799,1185,26,3708,0.4202,0.5798,26150,26150
Concordia University-Irvine,NULL,0.6656,1005,21,1266,0.3531,0.6469,18800,18800
San Diego Christian College,NULL,0.6583,957,19,518,0.417,0.583,14840,14840
Claremont McKenna College,NULL,0.2171,1389,31,1124,0.524,0.476,29010,29010
Dominican University of California,NULL,0.5095,1004,21,1307,0.2318,0.7682,24254,24254
Fresno Pacific University,NULL,0.6439,1003,22,1113,0.3154,0.6846,18728,18728
Holy Names University,NULL,0.7541,962,20,639,0.2379,0.7621,20980,20980
American Jewish University,NULL,0.5682,1081,20,140,0.3857,0.6143,18230,18230
Life Pacific College,NULL,0.9464,1009,23,481,0.4948,0.5052,8300,8300
University of La Verne,NULL,0.5919,999,21,4106,0.3361,0.6639,21500,21500
La Sierra University,NULL,0.5168,965,20,1525,0.4216,0.5784,17244,17244
The Master's University and Seminary,NULL,0.5364,1139,25,1124,0.4911,0.5089,17970,17970
Loyola Marymount University,NULL,0.5976,1164,26,5484,0.3922,0.6078,25266,25266
Mills College,NULL,0.8294,1132,23,762,0,1,27085,27085
Notre Dame de Namur University,NULL,0.8414,981,20,913,0.3538,0.6462,21500,21500
Occidental College,NULL,0.4487,1271,29,1850,0.4173,0.5827,29485,29485
Otis College of Art and Design,NULL,0.5842,986,19,996,0.3384,0.6616,25100,25100
Hope International University,NULL,0.6324,986,21,1002,0.3663,0.6337,16400,16400
University of the Pacific,NULL,0.6402,1157,25,3446,0.4301,0.5699,24750,24750
Point Loma Nazarene University,NULL,0.6505,1143,25,2361,0.3943,0.6057,19040,19040
Pomona College,NULL,0.1969,1446,32,1540,0.4987,0.5013,28365,28365
University of Redlands,NULL,0.7081,1142,25,3282,0.4244,0.5756,25524,25524
Samuel Merritt University,NULL,0.5583,1085,23,321,0.0779,0.9221,23768,23768
University of San Diego,NULL,0.6589,1169,26,4904,0.3948,0.6052,26864,26864
University of San Francisco,NULL,0.742,1105,24,4842,0.3633,0.6367,24800,24800
William Jessup University,NULL,0.6729,1000,21,428,0.4696,0.5304,14350,14350
Santa Clara University,NULL,0.6611,1180,26,4434,0.4443,0.5557,27135,27135
Scripps College,NULL,0.4869,1323,29,815,0,1,29000,29000
Simpson University,NULL,0.5917,1004,21,949,0.3541,0.6459,15500,15500
University of Southern California,NULL,0.2698,1338,29,16271,0.4924,0.5076,30512,30512
Thomas Aquinas College,NULL,0.823,1297,29,331,0.4864,0.5136,17700,17700
Westmont College,NULL,0.7448,1203,26,1351,0.3694,0.6306,26240,26240
Whittier College,NULL,0.7931,1057,22,1293,0.4339,0.5661,24468,24468
Ashford University,NULL,0.7153,950,20,380,0.4211,0.5789,14690,14690
Stanford University,NULL,0.1297,1450,32,6500,0.524,0.476,29847,29847
